Epoch,mse
1,0.01118801
2,0.00130102
3,0.00113358
4,0.00101393
5,0.00098861
6,0.00095496
7,0.00093133
8,0.0008859
9,0.00086825
10,0.00082523
11,0.0008208
12,0.0008189
13,0.00081806
14,0.00081305
15,0.00081185
16,0.00080894
17,0.00080827
18,0.00080728
19,0.00080675
20,0.00080636
21,0.00080628
22,0.00080611
23,0.00080586
24,0.0008056
25,0.00080114
26,0.00079771
27,0.00078548
28,0.00078305
29,0.00078192
30,0.0007817
31,0.00078026
32,0.00077969
33,0.00077961
34,0.00077929
35,0.00077929
36,0.00077922
37,0.00077921
38,0.00077921
39,0.00077921
40,0.0007791
41,0.00077905
42,0.00077902
43,0.00077893
44,0.00077891
45,0.00077884
46,0.00077883
47,0.00077871
48,0.00077864
49,0.00077864
50,0.00077861
51,0.00077861
52,0.00077861
53,0.00077861
54,0.00077859
55,0.00077858
56,0.00077858
57,0.00077857
58,0.00077854
59,0.00077851
60,0.0007785
61,0.00077848
62,0.00077845
63,0.00077844
64,0.00077841
65,0.00077836
66,0.00077834
67,0.00077833
68,0.00077831
69,0.00077831
70,0.00077829
71,0.00077821
72,0.00077821
73,0.00077805
74,0.00077803
75,0.00077803
76,0.00077803
77,0.00077803
78,0.00077801
79,0.00077795
80,0.00077795
81,0.00077794
82,0.00077786
83,0.00077784
84,0.00077779
85,0.00077736
86,0.00077715
87,0.00077704
88,0.00077678
89,0.00077675
90,0.00077675
91,0.0007764
92,0.00077637
93,0.00077633
94,0.00077629
95,0.00077621
96,0.0007762
97,0.00077619
98,0.00077619
99,0.00077618
100,0.00077616
101,0.00077612
102,0.00077611
103,0.00077593
104,0.00077581
105,0.00077559
106,0.00077541
107,0.00077423
108,0.00077396
109,0.00077378
110,0.00077345
111,0.00077317
112,0.00077281
113,0.00077169
114,0.0007716
115,0.0007716
116,0.00077136
117,0.00077105
118,0.00077102
119,0.00076986
120,0.00076968
121,0.00076897
122,0.00076886
123,0.00076858
124,0.00076851
125,0.0007684
126,0.00076803
127,0.00076734
128,0.00076728
129,0.00076659
130,0.00076639
131,0.00076584
132,0.00076505
133,0.00076463
134,0.00076329
135,0.000763
136,0.00076296
137,0.00076186
138,0.00075984
139,0.00075962
140,0.00075609
141,0.00075133
142,0.00074818
143,0.0007426
144,0.00074105
145,0.00073582
146,0.0007357
147,0.00073527
148,0.00073527
149,0.00073509
150,0.00073479
151,0.00073455
152,0.00073451
153,0.00073058
154,0.00072961
155,0.00072443
156,0.00071634
157,0.00071323
158,0.00069412
159,0.00068828
160,0.0006882
161,0.00068803
162,0.00068792
163,0.00068776
164,0.00068759
165,0.00068737
166,0.00068729
167,0.00068729
168,0.00068729
169,0.00068704
170,0.00068654
171,0.00068654
172,0.00068642
173,0.0006864
174,0.00068614
175,0.00068599
176,0.00068597
177,0.00068591
178,0.00068581
179,0.00068547
180,0.00068488
181,0.00068467
182,0.00068244
183,0.00068236
184,0.00068211
185,0.00068172
186,0.0006805
187,0.00067998
188,0.00067839
189,0.00067827
190,0.0006781
191,0.0006779
192,0.00067742
193,0.00067736
194,0.00067678
195,0.00067499
196,0.00067371
197,0.00067371
198,0.00067357
199,0.0006734
200,0.00067331
201,0.000673
202,0.00067286
203,0.00067281
204,0.00067279
205,0.00067277
206,0.00067275
207,0.00067271
208,0.00067265
209,0.00067259
210,0.00067228
211,0.00067203
212,0.00067153
213,0.00067118
214,0.00067086
215,0.00067075
216,0.00067064
217,0.00067064
218,0.00067064
219,0.00067062
220,0.00067054
221,0.0006705
222,0.00067025
223,0.00067009
224,0.00067001
225,0.00066997
226,0.00066996
227,0.00066993
228,0.00066979
229,0.00066974
230,0.00066967
231,0.00066963
232,0.0006696
233,0.00066958
234,0.00066953
235,0.00066951
236,0.0006695
237,0.0006695
238,0.0006695
239,0.0006695
240,0.0006695
241,0.0006695
242,0.0006695
243,0.0006695
244,0.0006695
245,0.0006695
246,0.0006695
