Epoch,mse
1,0.00099401
2,0.00080197
3,0.00061581
4,0.00061336
5,0.00058875
6,0.00055632
7,0.00055263
8,0.00054853
9,0.00050605
10,0.00048943
11,0.00048405
12,0.00048258
13,0.00047997
14,0.00047287
15,0.00046951
16,0.00046923
17,0.00046922
18,0.00046793
19,0.00046556
20,0.00046355
21,0.00045826
22,0.00045364
23,0.00044997
24,0.00043268
25,0.00042717
26,0.0004256
27,0.00042485
28,0.00042474
29,0.00042452
30,0.00042437
31,0.00042425
32,0.00042327
33,0.00042114
34,0.0004206
35,0.00042007
36,0.00041759
37,0.00041696
38,0.00041654
39,0.00041602
40,0.000416
41,0.00041499
42,0.00041371
43,0.00041266
44,0.00041249
45,0.00041245
46,0.00041245
47,0.00041241
48,0.00041241
49,0.00041241
50,0.0004124
51,0.00041184
52,0.00041132
53,0.00041127
54,0.00041073
55,0.0004098
56,0.00040889
57,0.00040872
58,0.00040642
59,0.00040634
60,0.00040626
61,0.00040618
62,0.00040616
63,0.00040615
64,0.00040615
65,0.00040614
66,0.00040613
67,0.00040612
68,0.00040612
69,0.00040606
70,0.00040603
71,0.000406
72,0.00040593
73,0.00040593
74,0.00040593
75,0.00040593
76,0.00040593
77,0.00040593
78,0.0004059
79,0.00040588
80,0.00040581
81,0.00040578
82,0.00040578
83,0.00040578
84,0.0004057
85,0.00040564
86,0.00040555
87,0.00040547
88,0.00040544
89,0.00040539
90,0.00040525
91,0.00040497
92,0.00040484
93,0.00040468
94,0.00040466
95,0.00040446
96,0.00040443
97,0.0004032
98,0.00040265
99,0.00040088
100,0.00040052
101,0.00040043
102,0.00039881
103,0.0003983
104,0.00039767
105,0.00039767
106,0.00039765
107,0.00039753
108,0.00039746
109,0.00039665
110,0.00039619
111,0.00039582
112,0.00039556
113,0.00039555
114,0.00039498
115,0.00039497
116,0.00039458
117,0.00039441
118,0.00039429
119,0.00039423
120,0.00039415
121,0.00039415
122,0.00038971
123,0.00038699
124,0.0003848
125,0.00038366
126,0.0003835
127,0.00038344
128,0.00038334
129,0.00038334
130,0.00038329
131,0.00038325
132,0.00038325
133,0.00038325
134,0.0003832
135,0.00038317
136,0.00038317
137,0.00038312
138,0.0003831
139,0.00038309
140,0.00038306
141,0.00038306
142,0.00038304
143,0.00038303
144,0.00038303
145,0.00038303
146,0.00038302
147,0.00038302
148,0.00038302
149,0.00038302
150,0.00038301
151,0.00038301
152,0.00038301
153,0.00038301
154,0.00038301
155,0.00038301
156,0.00038301
157,0.00038301
158,0.00038301
159,0.00038301
160,0.00038298
161,0.00038298
162,0.00038298
163,0.00038298
164,0.00038298
165,0.00038298
166,0.00038296
167,0.00038296
168,0.00038296
169,0.00038295
170,0.00038295
171,0.00038295
172,0.00038292
173,0.00038289
174,0.00038285
175,0.00038278
176,0.00038277
177,0.0003827
178,0.00038269
179,0.00038267
180,0.00038265
181,0.00038255
182,0.00038203
183,0.00038189
184,0.00038183
185,0.00038182
186,0.00038172
187,0.00038167
188,0.00038165
189,0.00038155
190,0.00038151
191,0.00038107
192,0.00038102
193,0.00038093
194,0.0003808
195,0.00038071
196,0.00038004
197,0.00038003
198,0.00037995
199,0.00037994
200,0.00037994
201,0.00037993
202,0.00037969
203,0.00037944
204,0.00037935
205,0.00037935
206,0.0003793
207,0.00037929
208,0.00037926
209,0.00037907
210,0.00037889
211,0.00037886
212,0.00037885
213,0.00037884
214,0.00037881
215,0.00037865
216,0.00037862
217,0.00037857
218,0.00037855
219,0.00037852
220,0.00037842
221,0.00037832
222,0.00037826
223,0.00037813
224,0.00037807
225,0.00037747
226,0.00037737
227,0.00037734
228,0.00037733
229,0.00037731
230,0.00037729
231,0.00037725
232,0.00037719
233,0.00037716
234,0.00037714
235,0.00037713
236,0.00037712
237,0.000377
238,0.00037688
239,0.00037665
240,0.00037662
241,0.00037662
242,0.00037662
243,0.00037662
244,0.00037662
245,0.00037662
246,0.0003766
247,0.0003766
248,0.0003766
249,0.00037656
250,0.00037651
251,0.00037647
252,0.00037646
253,0.00037643
254,0.00037636
255,0.00037633
256,0.00037632
257,0.00037614
258,0.00037606
259,0.00037605
260,0.00037604
261,0.00037603
262,0.00037599
263,0.00037598
264,0.00037597
265,0.00037581
266,0.00037575
267,0.0003757
268,0.0003756
269,0.0003755
270,0.00037549
271,0.00037549
272,0.00037549
273,0.00037549
274,0.00037549
275,0.00037549
276,0.00037549
277,0.00037539
278,0.00037529
279,0.00037525
280,0.00037523
281,0.00037518
282,0.00037516
283,0.00037515
284,0.00037509
285,0.00037505
286,0.00037501
287,0.000375
288,0.000375
289,0.000375
290,0.0003749
291,0.00037486
292,0.00037485
293,0.00037483
294,0.00037482
295,0.00037476
296,0.00037464
297,0.00037454
298,0.0003745
299,0.00037449
300,0.00037447
301,0.00037447
302,0.0003744
303,0.00037427
304,0.00037426
305,0.00037424
306,0.00037422
